Id,IsDeleted,MasterRecordId,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingStateCode,BillingCountryCode,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingStateCode,ShippingCountryCode,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,AccountNumber,Website,PhotoUrl,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Jigsaw,JigsawCompanyId,CleanStatus,AccountSource,DunsNumber,Tradestyle,NaicsCode,NaicsDesc,YearStarted,SicDesc,DandbCompanyId,OperatingHoursId,CustomerPriority__c,SLA__c,Active__c,NumberofLocations__c,UpsellOpportunity__c,SLASerialNumber__c,SLAExpirationDate__c,__START_AT,__END_AT
001fj00001UnaoaAAB,false,null,Edge Communications,Customer - Direct,null,"312 Constitution Place
Austin, TX 78767
USA",Austin,TX,null,United States,TX,US,null,null,null,"312 Constitution Place
Austin, TX 78767
USA",null,null,null,null,null,null,null,null,null,(512) 757-6000,(512) 757-9000,CD451796,http://edgecomm.com,/services/images/photo/001fj00001UnaoaAAB,6576,Electronics,139000000.00000000000000000000,1000,Public,EDGE,"Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",Hot,null,005fj00000JPHp8AAH,2026-07-20T10:24:12.000Z,005fj00000JPHp8AAH,2026-07-20T10:24:12.000Z,005fj00000JPHp8AAH,2026-07-20T10:24:12.000Z,null,null,null,null,null,Pending,null,null,null,null,null,null,null,null,null,Medium,Silver,Yes,2,Maybe,2657,2026-08-12,2026-07-20T10:24:12.000Z,null
001fj00001UnaobAAB,false,null,Burlington Textiles Corp of America,Customer - Direct,null,525 S. Lexington Ave,Burlington,NC,27215,USA,NC,US,null,null,null,null,null,null,null,null,null,null,null,null,null,(336) 222-7000,(336) 222-8000,CD656092,www.burlington.com,/services/images/photo/001fj00001UnaobAAB,546732,Apparel,350000000.00000000000000000000,9000,Public,BTXT,null,Warm,null,005fj00000JPHp8AAH,2026-07-20T10:24:12.000Z,005fj00000JPHp8AAH,2026-07-20T10:24:12.000Z,005fj00000JPHp8AAH,2026-07-20T10:24:12.000Z,null,null,null,null,null,Pending,null,null,null,null,null,null,null,null,null,null,Silver,null,6,Maybe,5367,2026-08-12,2026-07-20T10:24:12.000Z,null
001fj00001UnaocAAB,false,null,Pyramid Construction Inc.,Customer - Channel,null,2 Place Jussieu,Paris,null,75251,France,null,FR,null,null,null,2 Place Jussieu,Paris,null,75251,France,null,FR,null,null,null,(014) 427-4427,(014) 427-4428,CC213425,www.pyramid.com,/services/images/photo/001fj00001UnaocAAB,4253,Construction,950000000.00000000000000000000,2680,Public,PYR,null,null,null,005fj00000JPHp8AAH,2026-07-20T10:24:12.000Z,005fj00000JPHp8AAH,2026-07-20T10:24:12.000Z,005fj00000JPHp8AAH,2026-07-20T10:24:12.000Z,null,null,null,null,null,Pending,null,null,null,null,null,null,null,null,null,null,Silver,Yes,17,Maybe,9840,2027-02-12,2026-07-20T10:24:12.000Z,null
001fj00001UnaodAAB,false,null,Dickenson plc,Customer - Channel,null,1301 Hoch Drive,Lawrence,KS,66045,USA,KS,US,null,null,null,1301 Hoch Drive,Lawrence,KS,66045,USA,KS,US,null,null,null,(785) 241-6200,(785) 241-6201,CC634267,dickenson-consulting.com,/services/images/photo/001fj00001UnaodAAB,6752,Consulting,50000000.00000000000000000000,120,Private,null,null,null,null,005fj00000JPHp8AAH,2026-07-20T10:24:12.000Z,005fj00000JPHp8AAH,2026-07-20T10:24:12.000Z,005fj00000JPHp8AAH,2026-07-20T10:24:12.000Z,null,null,null,null,null,Pending,null,null,null,null,null,null,null,null,null,Low,Bronze,Yes,2,No,7425,2027-02-12,2026-07-20T10:24:12.000Z,null
001fj00001UnaoeAAB,false,null,Grand Hotels & Resorts Ltd,Customer - Direct,null,"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA",Chicago,IL,null,United States,IL,US,null,null,null,"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA",null,null,null,null,null,null,null,null,null,(312) 596-1000,(312) 596-1500,CD439877,www.grandhotels.com,/services/images/photo/001fj00001UnaoeAAB,2268,Hospitality,500000000.00000000000000000000,5600,Public,GHTL,"Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",Warm,null,005fj00000JPHp8AAH,2026-07-20T10:24:12.000Z,005fj00000JPHp8AAH,2026-07-20T10:24:12.000Z,005fj00000JPHp8AAH,2026-07-20T10:24:12.000Z,null,null,null,null,null,Pending,null,null,null,null,null,null,null,null,null,High,Gold,Yes,57,Yes,5572,2027-02-12,2026-07-20T10:24:12.000Z,null
001fj00001UnaofAAB,false,null,United Oil & Gas Corp.,Customer - Direct,null,"1301 Avenue of the Americas 
New York, NY 10019
USA",New York,NY,null,United States,NY,US,null,null,null,"1301 Avenue of the Americas 
New York, NY 10019
USA",null,null,null,null,null,null,null,null,null,(212) 842-5500,(212) 842-5501,CD355118,http://www.uos.com,/services/images/photo/001fj00001UnaofAAB,4437,Energy,5600000000.00000000000000000000,145000,Public,UOS,World's third largest oil and gas company.,Hot,null,005fj00000JPHp8AAH,2026-07-20T10:24:12.000Z,005fj00000JPHp8AAH,2026-07-20T10:24:12.000Z,005fj00000JPHp8AAH,2026-07-20T10:24:12.000Z,null,null,null,null,null,Pending,null,null,null,null,null,null,null,null,null,High,Platinum,Yes,955,Yes,6654,2027-02-12,2026-07-20T10:24:12.000Z,null
001fj00001UnaogAAB,false,null,Express Logistics and Transport,Customer - Channel,null,"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States",Portland,OR,null,United States,OR,US,null,null,null,"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States",null,null,null,null,null,null,null,null,null,(503) 421-7800,(503) 421-7801,CC947211,www.expressl&t.net,/services/images/photo/001fj00001UnaogAAB,8742,Transportation,950000000.00000000000000000000,12300,Public,EXLT,Commerical logistics and transportation company.,Cold,null,005fj00000JPHp8AAH,2026-07-20T10:24:12.000Z,005fj00000JPHp8AAH,2026-07-20T10:24:12.000Z,005fj00000JPHp8AAH,2026-07-20T10:24:12.000Z,null,null,null,null,null,Pending,null,null,null,null,null,null,null,null,null,Medium,Platinum,Yes,150,Maybe,4724,2027-02-12,2026-07-20T10:24:12.000Z,null
001fj00001UnaohAAB,false,null,University of Arizona,Customer - Direct,null,"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States",Tucson,AZ,null,United States,AZ,US,null,null,null,"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States",null,null,null,null,null,null,null,null,null,(520) 773-9050,(520) 773-9060,CD736025,www.universityofarizona.com,/services/images/photo/001fj00001UnaohAAB,7321,Education,null,39000,Other,null,"Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",Warm,null,005fj00000JPHp8AAH,2026-07-20T10:24:12.000Z,005fj00000JPHp8AAH,2026-07-20T10:24:12.000Z,005fj00000JPHp8AAH,2026-07-20T10:24:12.000Z,null,null,null,null,null,Pending,null,null,null,null,null,null,null,null,null,Medium,Gold,Yes,3,Yes,8350,2026-08-12,2026-07-20T10:24:12.000Z,null
001fj00001UnaoiAAB,false,null,"United Oil & Gas, UK",Customer - Direct,null,"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom",null,UK,null,null,null,null,null,null,null,"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom",null,null,null,null,null,null,null,null,null,+44 191 4956203,+44 191 4956620,CD355119-A,http://www.uos.com,/services/images/photo/001fj00001UnaoiAAB,4437,Energy,null,24000,Public,UOS,null,null,null,005fj00000JPHp8AAH,2026-07-20T10:24:12.000Z,005fj00000JPHp8AAH,2026-07-20T10:24:12.000Z,005fj00000JPHp8AAH,2026-07-20T10:24:12.000Z,null,null,null,null,null,Pending,null,null,null,null,null,null,null,null,null,High,Platinum,Yes,34,No,3479,2026-08-12,2026-07-20T10:24:12.000Z,null
001fj00001UnaojAAB,false,null,"United Oil & Gas, Singapore",Customer - Direct,null,"9 Tagore Lane
Singapore, Singapore 787472
Singapore",Singapore,Singapore,null,null,null,null,null,null,null,"9 Tagore Lane
Singapore, Singapore 787472
Singapore",null,null,null,null,null,null,null,null,null,(650) 450-8810,(650) 450-8820,CD355120-B,http://www.uos.com,/services/images/photo/001fj00001UnaojAAB,4437,Energy,null,3000,Public,UOS,null,null,null,005fj00000JPHp8AAH,2026-07-20T10:24:12.000Z,005fj00000JPHp8AAH,2026-07-20T10:24:12.000Z,005fj00000JPHp8AAH,2026-07-20T10:24:12.000Z,null,null,null,null,null,Pending,null,null,null,null,null,null,null,null,null,High,Platinum,Yes,6,Maybe,2457,2027-02-12,2026-07-20T10:24:12.000Z,null
